slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,round=QF & rank_gap_bucket=11-25,True,11,0.0186,0.4545,0.3636,-0.0909,-0.1556,-0.2448,-0.0892,0.4798,0.4748,-0.005,down
2,round=QF & form_gap_bucket=0.00-0.10,True,19,0.0322,0.4211,0.3158,-0.1053,-0.1891,-0.2927,-0.1036,0.4628,0.4563,-0.0065,down
2,round=SF & handedness_matchup=L-vs-R,True,9,0.0153,0.6667,0.5556,-0.1111,0.0565,-0.0529,-0.1094,0.5365,0.5163,-0.0201,down
2,tourney_level=250 & round=QF,True,27,0.0458,0.4444,0.3333,-0.1111,-0.1657,-0.2751,-0.1094,0.4701,0.4637,-0.0063,down
2,round=F & handedness_matchup=L-vs-R,True,8,0.0136,0.625,0.5,-0.125,0.0148,-0.1085,-0.1233,0.5249,0.5122,-0.0127,down
2,round=R128 & rank_gap_bucket=51-100,False,5,0.0085,0.4,0.6,0.2,-0.2102,-0.0085,0.2017,0.491,0.5149,0.0239,up
2,surface=Clay & rank_gap_bucket=>100,False,6,0.0102,0.5,0.6667,0.1667,-0.1102,0.0582,0.1684,0.5606,0.5461,-0.0145,up
2,tourney_level=D & age_gap_bucket=6-8,False,20,0.0339,0.55,0.7,0.15,-0.0602,0.0915,0.1517,0.5752,0.5745,-0.0007,up
1,surface=Clay,False,7,0.0119,0.5714,0.7143,0.1429,-0.0387,0.1058,0.1446,0.5625,0.5484,-0.014,up
2,surface=Clay & tourney_level=D,False,7,0.0119,0.5714,0.7143,0.1429,-0.0387,0.1058,0.1446,0.5625,0.5484,-0.014,up
2,surface=Clay & best_of=3,False,7,0.0119,0.5714,0.7143,0.1429,-0.0387,0.1058,0.1446,0.5625,0.5484,-0.014,up
2,surface=Clay & round=RR,False,7,0.0119,0.5714,0.7143,0.1429,-0.0387,0.1058,0.1446,0.5625,0.5484,-0.014,up
2,round=R16 & age_gap_bucket=0-2,False,25,0.0424,0.68,0.8,0.12,0.0698,0.1915,0.1217,0.6308,0.6154,-0.0154,up
